ID;en-de;de-de;tr-de;en-nz;en-es;es-es;en-it;it-it;..;..;..;..;..;..
301001;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall
301002;Your EasyBox provides extensive firewall functionality which protects against common attacks. Vodafone recommends not to turn off firewall.;Ihre EasyBox verfügt über eine leistungsstarke Firewall, die Sie vor Angriffen aus dem Internet schützt. Es wird empfohlen, die Firewall nicht auszuschalten.;EasyBox´unuz Firewall sayesinde hacker ve internetten gelen saldırılara karşı koruma sağlayan güçlü bir güvenlik duvarına sahiptir.;Your EasyBox provides extensive firewall functionality which protects against common attacks. Vodafone recommends not to turn off firewall.;Your router provides extensive firewall functionality which protects against common attacks. Vodafone recommends not to turn off firewall.;Su router proporciona una amplia funcionalidad firewall que protege contra ataques comunes. Vodafone recomienda no desactivar el firewall.;Your EasyBox provides extensive firewall functionality which protects against common attacks. Vodafone recommends not to turn off firewall.;La tua Vodafone Station include la funzionalità Firewall che ti protegge contro attacchi alla tua rete. Vodafone raccomanda di non spegnere il firewall.;Ihre EasyBox verfügt über eine leistungsstarke Firewall, die Sie vor Angriffen aus dem Internet schützt. Es wird empfohlen die Firewall nicht auszuschalten.;Your EasyBox provides extensive firewall functionality which protects against common attacks. Vodafone recommends not to turn off firewall.;EasyBox´unuz Firewall sayesinde hacker ve internetten gelen saldırılara karşı koruma sağlayan güçlü bir güvenlik duvarına sahiptir.;Ihre EasyBox verfügt über eine leistungsstarke Firewall, die Sie vor Angriffen aus dem Internet schützt. Es wird empfohlen die Firewall nicht auszuschalten.;Your EasyBox provides extensive firewall functionality which protects against common attacks. Vodafone recommends not to turn off firewall.;Your PlusBox provides extensive firewall functionality which protects against common attacks
301003;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall
301004;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Firewall Rules
301005;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Edit Firewall Rule
301006;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Name
301007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;IP source
301008;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Port (-Range)
301009;Intrusion Detection Features;Feststellen von Eindringversuchen;İçeri sızma denemelerinin tespiti;Intrusion Detection Features;Intrusion Detection Features;Características de Detección de Intrusiones;Intrusion Detection Features;;Feststellen von Eindringversuchen;Intrusion Detection Features;İçeri sızma denemelerinin tespiti;Feststellen von Eindringversuchen;Intrusion Detection Features;Intrusion Detection Features
301010;RIP Defect;RIP defect;RIP defect;RIP Defect;RIP Defect;Defecto RIP;RIP Defect;;RIP defect;RIP Defect;RIP defect;RIP defect;RIP Defect;RIP Defect
301011;Discard Ping To WAN Interface;Discard Ping To WAN Interface;Discard Ping To WAN Interface;Discard Ping To WAN Interface;Discard Ping To WAN Interface;Descartar Ping en Interfaz Wan;Discard Ping To WAN Interface;;Discard Ping To WAN Interface;Discard Ping To WAN Interface;Discard Ping To WAN Interface;Discard Ping To WAN Interface;Discard Ping To WAN Interface;Discard Ping To WAN Interface
301012;Stateful Packet Inspection;Stateful Packet Inspection;Stateful Packet Inspection;Stateful Packet Inspection;Stateful Packet Inspection;Stateful Packet Inspection;Stateful Packet Inspection;;Stateful Packet Inspection;Stateful Packet Inspection;Stateful Packet Inspection;Stateful Packet Inspection;Stateful Packet Inspection;Stateful Packet Inspection
301013;Packet Fragmentation;Packet Fragmentation;Packet Fragmentation;Packet Fragmentation;Packet Fragmentation;Fragmentación de paquetes;Packet Fragmentation;;Packet Fragmentation;Packet Fragmentation;Packet Fragmentation;Packet Fragmentation;Packet Fragmentation;Packet Fragmentation
301014;TCP Connection;TCP Verbindung;TCP bağlantısı;TCP Connection;TCP Connection;Conexión TCP;TCP Connection;;TCP Verbindung;TCP Connection;TCP bağlantısı;TCP Verbindung;TCP Connection;TCP Connection
301015;UDP Connection;UDP Verbindung;UDP bağlantısı;UDP Connection;UDP Connection;Conexión UDP;UDP Connection;;UDP Verbindung;UDP Connection;UDP bağlantısı;UDP Verbindung;UDP Connection;UDP Connection
301016;FTP Service;FTP Service;FTP Service;FTP Service;FTP Service;Servicio FTP;FTP Service;;FTP Service;FTP Service;FTP Service;FTP Service;FTP Service;FTP Service
301017;TFTP Service;TFTP Service;TFTP Service;TFTP Service;TFTP Service;Servicio TFTP;TFTP Service;;TFTP Service;TFTP Service;TFTP Service;TFTP Service;TFTP Service;TFTP Service
301018;Attack Alert via Email;E-Mail-Benachrichtigung bei Angriffen;E-Posta ile hacker alarmı;Attack Alert via Email;Attack Alert via Email;Alerta de ataques por correo electrónico;Attack Alert via Email;;E-Mail-Benachrichtigung bei Angriffen;Attack Alert via Email;E-Mail ile hacker alarmı;E-Mail-Benachrichtigung bei Angriffen;Attack Alert via Email;Attack Alert via Email
301019;Email Address;E-Mail-Adresse;E-Posta adresi;Email Address;Email Address;Dirección de correo electrónico;Email Address;;E-Mail-Adresse;Email Address;E-Mail adresi;E-Mail-Adresse;Email Address;Email Address
301020;SMTP Server;SMTP-Server;SMTP Server;SMTP Server;SMTP Server;Servidor SMTP;SMTP Server;;SMTP-Server;SMTP Server;SMTP Server;SMTP-Server;SMTP Server;SMTP Server
301021;Password;Kennwort;Şifre;Password;Password;Contraseña;Password;;Kennwort;Password;Şifre;Kennwort;Password;Password
301022;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;IP destination
301023;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Global Firewall Settings
301024;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PING To WAN interface
301025;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;LAN to WLAN zone traffic allowed
301026;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;WLAN to LAN zone traffic allowed
301027;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Edit Firewall Rule 
301028;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Source IP Address
301029;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Range
301030;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Port Range
301031;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Destination
301032;IP Address Range End;IP Adressbereich Ende;IP adres aralığı sonu;IP Address Range End;IP Address Range End;Fin de intervalo de direcciones IP;IP Address Range End;;IP Adressbereich Ende;IP Address Range End;IP adres aralığı sonu;IP Adressbereich Ende;IP Address Range End;IP Address Range End
